question,workflow,tools
我饿了,KNOWLEDGE_QA,SEARCH_PUBLIC_KNOWLEDGE
现在还有饭吃吗,KNOWLEDGE_QA,GET_CURRENT_TIME|SEARCH_PUBLIC_KNOWLEDGE
今晚饭堂还开吗,KNOWLEDGE_QA,GET_CURRENT_TIME|SEARCH_PUBLIC_KNOWLEDGE
明天饭堂营业吗,KNOWLEDGE_QA,GET_CURRENT_TIME|SEARCH_PUBLIC_KNOWLEDGE
周末图书馆能进去吗,KNOWLEDGE_QA,GET_CURRENT_TIME|SEARCH_PUBLIC_KNOWLEDGE
现在校医院还能看病吗,KNOWLEDGE_QA,GET_CURRENT_TIME|SEARCH_PUBLIC_KNOWLEDGE
我想打球去哪,KNOWLEDGE_QA,SEARCH_PUBLIC_KNOWLEDGE
我不舒服去哪看,KNOWLEDGE_QA,SEARCH_PUBLIC_KNOWLEDGE
快递到了去哪拿,KNOWLEDGE_QA,SEARCH_PUBLIC_KNOWLEDGE
宿舍没电了怎么办,KNOWLEDGE_QA,SEARCH_PUBLIC_KNOWLEDGE
校园卡没钱了怎么办,KNOWLEDGE_QA,SEARCH_PUBLIC_KNOWLEDGE
现在能去体育馆吗,KNOWLEDGE_QA,GET_CURRENT_TIME|SEARCH_PUBLIC_KNOWLEDGE
饭点过了学校还有吃的吗,KNOWLEDGE_QA,SEARCH_PUBLIC_KNOWLEDGE
今天晚上图书馆还能自习吗,KNOWLEDGE_QA,GET_CURRENT_TIME|SEARCH_PUBLIC_KNOWLEDGE
下周校医院正常上班吗,KNOWLEDGE_QA,GET_CURRENT_TIME|SEARCH_PUBLIC_KNOWLEDGE
我想洗澡去哪,KNOWLEDGE_QA,SEARCH_PUBLIC_KNOWLEDGE
宿舍热水怎么用,KNOWLEDGE_QA,SEARCH_PUBLIC_KNOWLEDGE
学校哪里能跑步,KNOWLEDGE_QA,SEARCH_PUBLIC_KNOWLEDGE
明天体育馆开放吗,KNOWLEDGE_QA,GET_CURRENT_TIME|SEARCH_PUBLIC_KNOWLEDGE
现在校园卡还能充值吗,KNOWLEDGE_QA,GET_CURRENT_TIME|SEARCH_PUBLIC_KNOWLEDGE
晚上快递点还开吗,KNOWLEDGE_QA,GET_CURRENT_TIME|SEARCH_PUBLIC_KNOWLEDGE
周末饭堂几点开,KNOWLEDGE_QA,GET_CURRENT_TIME|SEARCH_PUBLIC_KNOWLEDGE
今天校车还运行吗,KNOWLEDGE_QA,GET_CURRENT_TIME|SEARCH_PUBLIC_KNOWLEDGE
学校哪里能打印资料,KNOWLEDGE_QA,SEARCH_PUBLIC_KNOWLEDGE
现在能去操场吗,KNOWLEDGE_QA,GET_CURRENT_TIME|SEARCH_PUBLIC_KNOWLEDGE
饭堂哪层比较适合一个人吃饭,KNOWLEDGE_QA,SEARCH_PUBLIC_KNOWLEDGE
宿舍断网了找谁处理,KNOWLEDGE_QA,SEARCH_PUBLIC_KNOWLEDGE
校园网密码忘了怎么办,KNOWLEDGE_QA,SEARCH_PUBLIC_KNOWLEDGE
我想借书去哪里,KNOWLEDGE_QA,SEARCH_PUBLIC_KNOWLEDGE
今晚还能借书吗,KNOWLEDGE_QA,GET_CURRENT_TIME|SEARCH_PUBLIC_KNOWLEDGE
帮我安排今晚的学习计划,AGENT_TASK,GET_CURRENT_TIME|SEARCH_USER_SCHEDULE|SEARCH_USER_TODO|SEARCH_GLOBAL_KNOWLEDGE
明天我应该先做什么,AGENT_TASK,GET_CURRENT_TIME|SEARCH_USER_SCHEDULE|SEARCH_USER_TODO|SEARCH_GLOBAL_KNOWLEDGE
我明天有什么任务,AGENT_TASK,GET_CURRENT_TIME|SEARCH_USER_SCHEDULE|SEARCH_USER_TODO
下周哪天比较空,AGENT_TASK,GET_CURRENT_TIME|SEARCH_USER_SCHEDULE
结合我的课程表安排复习,AGENT_TASK,SEARCH_USER_SCHEDULE|SEARCH_GLOBAL_KNOWLEDGE
明天有什么作业要交吗,AGENT_TASK,GET_CURRENT_TIME|SEARCH_USER_TODO
今晚先写哪门课的作业,AGENT_TASK,GET_CURRENT_TIME|SEARCH_USER_TODO|SEARCH_GLOBAL_KNOWLEDGE
帮我规划这周的操作系统复习,AGENT_TASK,GET_CURRENT_TIME|SEARCH_GLOBAL_KNOWLEDGE|SEARCH_CONVERSATION_KNOWLEDGE
根据课表和待办安排明天,AGENT_TASK,GET_CURRENT_TIME|SEARCH_USER_SCHEDULE|SEARCH_USER_TODO
这周怎么准备期末考试,AGENT_TASK,GET_CURRENT_TIME|SEARCH_GLOBAL_KNOWLEDGE
帮我把明天上午排满学习任务,AGENT_TASK,GET_CURRENT_TIME|SEARCH_USER_SCHEDULE|SEARCH_USER_TODO
看看今天还有哪些作业没做,AGENT_TASK,GET_CURRENT_TIME|SEARCH_USER_TODO
帮我判断今晚有没有空复习,AGENT_TASK,GET_CURRENT_TIME|SEARCH_USER_SCHEDULE|SEARCH_USER_TODO
按截止日期整理我的任务,AGENT_TASK,SEARCH_USER_TODO|SEARCH_GLOBAL_KNOWLEDGE
根据我的课程表安排运动时间,AGENT_TASK,SEARCH_USER_SCHEDULE
帮我制定数据库复习节奏,AGENT_TASK,SEARCH_GLOBAL_KNOWLEDGE|SEARCH_CONVERSATION_KNOWLEDGE
明天下午先复习还是先写作业,AGENT_TASK,GET_CURRENT_TIME|SEARCH_USER_SCHEDULE|SEARCH_USER_TODO
下周考试前每天做什么,AGENT_TASK,GET_CURRENT_TIME|SEARCH_USER_SCHEDULE|SEARCH_USER_TODO|SEARCH_GLOBAL_KNOWLEDGE
帮我把待办按优先级排一下,AGENT_TASK,SEARCH_USER_TODO
今晚两小时怎么安排效率最高,AGENT_TASK,GET_CURRENT_TIME|SEARCH_USER_TODO|SEARCH_GLOBAL_KNOWLEDGE
根据课表找一段空闲时间学习,AGENT_TASK,SEARCH_USER_SCHEDULE
明天的课程和作业怎么安排,AGENT_TASK,GET_CURRENT_TIME|SEARCH_USER_SCHEDULE|SEARCH_USER_TODO
