question,workflow,tools
我饿了,KNOWLEDGE_QA,SEARCH_PUBLIC_KNOWLEDGE
我有点饿了,KNOWLEDGE_QA,SEARCH_PUBLIC_KNOWLEDGE
我饿了去哪吃饭,KNOWLEDGE_QA,SEARCH_PUBLIC_KNOWLEDGE
我饿了学校哪里有吃的,KNOWLEDGE_QA,SEARCH_PUBLIC_KNOWLEDGE
现在有点饿去哪吃,KNOWLEDGE_QA,SEARCH_PUBLIC_KNOWLEDGE
想吃饭了,KNOWLEDGE_QA,SEARCH_PUBLIC_KNOWLEDGE
现在想吃饭了,KNOWLEDGE_QA,SEARCH_PUBLIC_KNOWLEDGE
想吃饭去哪比较方便,KNOWLEDGE_QA,SEARCH_PUBLIC_KNOWLEDGE
学校哪里适合吃饭,KNOWLEDGE_QA,SEARCH_PUBLIC_KNOWLEDGE
附近哪里能吃饭,KNOWLEDGE_QA,SEARCH_PUBLIC_KNOWLEDGE
学校哪里能吃饭,KNOWLEDGE_QA,SEARCH_PUBLIC_KNOWLEDGE
学校哪里可以吃饭,KNOWLEDGE_QA,SEARCH_PUBLIC_KNOWLEDGE
校内哪里能吃饭,KNOWLEDGE_QA,SEARCH_PUBLIC_KNOWLEDGE
校园里哪里有吃的,KNOWLEDGE_QA,SEARCH_PUBLIC_KNOWLEDGE
在学校去哪吃饭,KNOWLEDGE_QA,SEARCH_PUBLIC_KNOWLEDGE
附近有什么吃的,KNOWLEDGE_QA,SEARCH_PUBLIC_KNOWLEDGE
学校附近有什么吃的,KNOWLEDGE_QA,SEARCH_PUBLIC_KNOWLEDGE
附近哪里有饭吃,KNOWLEDGE_QA,SEARCH_PUBLIC_KNOWLEDGE
周边有什么能吃的,KNOWLEDGE_QA,SEARCH_PUBLIC_KNOWLEDGE
附近吃饭去哪,KNOWLEDGE_QA,SEARCH_PUBLIC_KNOWLEDGE
我想去饭堂,KNOWLEDGE_QA,SEARCH_PUBLIC_KNOWLEDGE
想去饭堂吃饭,KNOWLEDGE_QA,SEARCH_PUBLIC_KNOWLEDGE
饭堂在哪里,KNOWLEDGE_QA,SEARCH_PUBLIC_KNOWLEDGE
学校饭堂怎么去,KNOWLEDGE_QA,SEARCH_PUBLIC_KNOWLEDGE
现在想去饭堂,KNOWLEDGE_QA,SEARCH_PUBLIC_KNOWLEDGE
哪里有饭吃,KNOWLEDGE_QA,SEARCH_PUBLIC_KNOWLEDGE
学校哪里有饭吃,KNOWLEDGE_QA,SEARCH_PUBLIC_KNOWLEDGE
饭点去哪吃饭,KNOWLEDGE_QA,SEARCH_PUBLIC_KNOWLEDGE
我想打球,KNOWLEDGE_QA,SEARCH_PUBLIC_KNOWLEDGE
学校哪里能打球,KNOWLEDGE_QA,SEARCH_PUBLIC_KNOWLEDGE
想找地方打球,KNOWLEDGE_QA,SEARCH_PUBLIC_KNOWLEDGE
校内哪里可以打球,KNOWLEDGE_QA,SEARCH_PUBLIC_KNOWLEDGE
我想去运动场打球,KNOWLEDGE_QA,SEARCH_PUBLIC_KNOWLEDGE
想运动一下,KNOWLEDGE_QA,SEARCH_PUBLIC_KNOWLEDGE
学校哪里能运动,KNOWLEDGE_QA,SEARCH_PUBLIC_KNOWLEDGE
想找地方运动一下,KNOWLEDGE_QA,SEARCH_PUBLIC_KNOWLEDGE
校内哪里适合运动,KNOWLEDGE_QA,SEARCH_PUBLIC_KNOWLEDGE
想去体育馆运动,KNOWLEDGE_QA,SEARCH_PUBLIC_KNOWLEDGE
我不舒服,KNOWLEDGE_QA,SEARCH_PUBLIC_KNOWLEDGE
身体不舒服去哪看,KNOWLEDGE_QA,SEARCH_PUBLIC_KNOWLEDGE
不舒服可以去哪里,KNOWLEDGE_QA,SEARCH_PUBLIC_KNOWLEDGE
我不舒服想看医生,KNOWLEDGE_QA,SEARCH_PUBLIC_KNOWLEDGE
学校哪里能看病,KNOWLEDGE_QA,SEARCH_PUBLIC_KNOWLEDGE
我想去校医院,KNOWLEDGE_QA,SEARCH_PUBLIC_KNOWLEDGE
校医院在哪里,KNOWLEDGE_QA,SEARCH_PUBLIC_KNOWLEDGE
学校医院怎么去,KNOWLEDGE_QA,SEARCH_PUBLIC_KNOWLEDGE
我想去校医院看一下,KNOWLEDGE_QA,SEARCH_PUBLIC_KNOWLEDGE
校医院怎么走,KNOWLEDGE_QA,SEARCH_PUBLIC_KNOWLEDGE
快递到了去哪拿,KNOWLEDGE_QA,SEARCH_PUBLIC_KNOWLEDGE
学校快递去哪取,KNOWLEDGE_QA,SEARCH_PUBLIC_KNOWLEDGE
快递点在哪里,KNOWLEDGE_QA,SEARCH_PUBLIC_KNOWLEDGE
取快递去哪里,KNOWLEDGE_QA,SEARCH_PUBLIC_KNOWLEDGE
我的快递到了在哪里拿,KNOWLEDGE_QA,SEARCH_PUBLIC_KNOWLEDGE
校园卡没钱了,KNOWLEDGE_QA,SEARCH_PUBLIC_KNOWLEDGE
校园卡怎么充值,KNOWLEDGE_QA,SEARCH_PUBLIC_KNOWLEDGE
校园卡余额不够怎么办,KNOWLEDGE_QA,SEARCH_PUBLIC_KNOWLEDGE
