question,workflow,tools,sourceCategory,keywords
本表收集自贴吧、知乎、公众号、新生群等公开渠道,KNOWLEDGE_QA,SEARCH_PUBLIC_KNOWLEDGE,,
问题均为学生口语化表达，可直接用于问答系统训练,KNOWLEDGE_QA,SEARCH_PUBLIC_KNOWLEDGE,,
"可在""答案/备注""栏填写官方答案或补充信息",KNOWLEDGE_QA,SEARCH_PUBLIC_KNOWLEDGE,,
标 ★ 的为高频问题，建议优先补充,KNOWLEDGE_QA,SEARCH_PUBLIC_KNOWLEDGE,,
按13个分类整理，方便分发给不同部门作答,KNOWLEDGE_QA,SEARCH_PUBLIC_KNOWLEDGE,,
哪个食堂人比较少？,KNOWLEDGE_QA,SEARCH_PUBLIC_KNOWLEDGE,,"[""食堂"", ""人少"", ""排队"", ""推荐""]"
一饭一楼有什么好吃的？,KNOWLEDGE_QA,SEARCH_PUBLIC_KNOWLEDGE,,"[""一饭"", ""一楼"", ""推荐"", ""菜品""]"
食堂早餐有什么？,KNOWLEDGE_QA,SEARCH_PUBLIC_KNOWLEDGE,,"[""食堂"", ""早餐"", ""种类"", ""早上""]"
食堂几点关门？,KNOWLEDGE_QA,GET_CURRENT_TIME|SEARCH_PUBLIC_KNOWLEDGE,,"[""食堂"", ""关门"", ""时间"", ""晚上""]"
食堂有什么特色菜？,KNOWLEDGE_QA,SEARCH_PUBLIC_KNOWLEDGE,,"[""食堂"", ""特色菜"", ""推荐"", ""好吃""]"
食堂人均消费多少？,KNOWLEDGE_QA,SEARCH_PUBLIC_KNOWLEDGE,,"[""食堂"", ""人均"", ""消费"", ""多少钱""]"
食堂支持微信支付吗？,KNOWLEDGE_QA,SEARCH_PUBLIC_KNOWLEDGE,,"[""食堂"", ""微信支付"", ""支付宝"", ""付款""]"
哪个食堂离图书馆最近？,KNOWLEDGE_QA,SEARCH_PUBLIC_KNOWLEDGE,,"[""食堂"", ""图书馆"", ""最近"", ""距离""]"
食堂的米饭多少钱？,KNOWLEDGE_QA,SEARCH_PUBLIC_KNOWLEDGE,,"[""食堂"", ""米饭"", ""价格"", ""多少钱""]"
二饭三楼早茶几点开始供应？,KNOWLEDGE_QA,GET_CURRENT_TIME|SEARCH_PUBLIC_KNOWLEDGE,,"[""二饭"", ""三楼"", ""早茶"", ""时间""]"
食堂有清真窗口吗？,KNOWLEDGE_QA,SEARCH_PUBLIC_KNOWLEDGE,,"[""食堂"", ""清真"", ""窗口"", ""回族""]"
食堂可以用支付宝吗？,KNOWLEDGE_QA,SEARCH_PUBLIC_KNOWLEDGE,,"[""食堂"", ""支付宝"", ""支付"", ""付款""]"
食堂有什么饮料？,KNOWLEDGE_QA,SEARCH_PUBLIC_KNOWLEDGE,,"[""食堂"", ""饮料"", ""奶茶"", ""果汁""]"
食堂有免费汤吗？,KNOWLEDGE_QA,SEARCH_PUBLIC_KNOWLEDGE,,"[""食堂"", ""免费汤"", ""汤"", ""免费""]"
一饭的烧腊饭多少钱？,KNOWLEDGE_QA,SEARCH_PUBLIC_KNOWLEDGE,,"[""一饭"", ""烧腊饭"", ""价格"", ""多少钱""]"
大学城附近有什么好吃的外卖？,KNOWLEDGE_QA,SEARCH_PUBLIC_KNOWLEDGE,,"[""大学城"", ""外卖"", ""好吃"", ""推荐""]"
贝岗村有什么推荐的美食？,KNOWLEDGE_QA,SEARCH_PUBLIC_KNOWLEDGE,,"[""贝岗村"", ""美食"", ""推荐"", ""好吃""]"
GOGO新天地有什么好吃的？,KNOWLEDGE_QA,SEARCH_PUBLIC_KNOWLEDGE,,"[""GOGO新天地"", ""美食"", ""推荐"", ""好吃""]"
食堂可以打包吗？,KNOWLEDGE_QA,SEARCH_PUBLIC_KNOWLEDGE,,"[""食堂"", ""打包"", ""带走"", ""饭盒""]"
食堂二楼有什么？,KNOWLEDGE_QA,SEARCH_PUBLIC_KNOWLEDGE,,"[""食堂"", ""二楼"", ""有什么"", ""菜品""]"
学校有哪些奶茶店？,KNOWLEDGE_QA,SEARCH_PUBLIC_KNOWLEDGE,,"[""奶茶"", ""奶茶店"", ""饮品"", ""校园""]"
校医院怎么预约挂号？,KNOWLEDGE_QA,SEARCH_PUBLIC_KNOWLEDGE,,"[""校医院"", ""预约"", ""挂号"", ""网上""]"
校医院能验血吗？,KNOWLEDGE_QA,SEARCH_PUBLIC_KNOWLEDGE,,"[""校医院"", ""验血"", ""血常规"", ""化验""]"
校医院可以做B超吗？,KNOWLEDGE_QA,SEARCH_PUBLIC_KNOWLEDGE,,"[""校医院"", ""B超"", ""检查"", ""影像""]"
校医院在哪里？,KNOWLEDGE_QA,SEARCH_PUBLIC_KNOWLEDGE,,"[""校医院"", ""位置"", ""地址"", ""看病""]"
校医院可以体检吗？,KNOWLEDGE_QA,SEARCH_PUBLIC_KNOWLEDGE,,"[""校医院"", ""体检"", ""入学体检"", ""毕业体检""]"
校医院有皮肤科吗？,KNOWLEDGE_QA,SEARCH_PUBLIC_KNOWLEDGE,,"[""校医院"", ""皮肤科"", ""痘痘"", ""过敏""]"
校医院可以看牙科吗？,KNOWLEDGE_QA,SEARCH_PUBLIC_KNOWLEDGE,,"[""校医院"", ""牙科"", ""看牙"", ""口腔""]"
校医院急诊电话是多少？,KNOWLEDGE_QA,SEARCH_PUBLIC_KNOWLEDGE,,"[""校医院"", ""急诊"", ""电话"", ""紧急""]"
校医院可以看眼科吗？,KNOWLEDGE_QA,SEARCH_PUBLIC_KNOWLEDGE,,"[""校医院"", ""眼科"", ""视力"", ""检查""]"
大学生医保怎么报销？,KNOWLEDGE_QA,SEARCH_PUBLIC_KNOWLEDGE,,"[""医保"", ""报销"", ""大学生医保"", ""看病""]"
校医院可以开病假条吗？,KNOWLEDGE_QA,SEARCH_PUBLIC_KNOWLEDGE,,"[""校医院"", ""病假条"", ""请假"", ""证明""]"
校医院上班时间是什么？,KNOWLEDGE_QA,GET_CURRENT_TIME|SEARCH_PUBLIC_KNOWLEDGE,,"[""校医院"", ""上班时间"", ""门诊"", ""几点""]"
校医院能测血压吗？,KNOWLEDGE_QA,SEARCH_PUBLIC_KNOWLEDGE,,"[""校医院"", ""血压"", ""测量"", ""体检""]"
心理咨询中心在哪里？,KNOWLEDGE_QA,SEARCH_PUBLIC_KNOWLEDGE,,"[""心理咨询"", ""位置"", ""预约"", ""辅导""]"
校医院有中医科吗？,KNOWLEDGE_QA,SEARCH_PUBLIC_KNOWLEDGE,,"[""校医院"", ""中医"", ""中药"", ""调理""]"
校医院可以看感冒发烧吗？,KNOWLEDGE_QA,SEARCH_PUBLIC_KNOWLEDGE,,"[""校医院"", ""感冒"", ""发烧"", ""看病""]"
校园卡余额怎么查询？,KNOWLEDGE_QA,SEARCH_PUBLIC_KNOWLEDGE,,"[""校园卡"", ""余额"", ""查询"", ""企业微信""]"
统一认证密码忘了怎么办？,KNOWLEDGE_QA,SEARCH_PUBLIC_KNOWLEDGE,,"[""统一认证"", ""密码"", ""忘记"", ""重置""]"
圈存机在哪里？,KNOWLEDGE_QA,SEARCH_PUBLIC_KNOWLEDGE,,"[""圈存机"", ""位置"", ""充值"", ""食堂""]"
校园卡怎么充值？,KNOWLEDGE_QA,SEARCH_PUBLIC_KNOWLEDGE,,"[""校园卡"", ""充值"", ""微信"", ""支付宝""]"
校园卡在哪里挂失？,KNOWLEDGE_QA,SEARCH_PUBLIC_KNOWLEDGE,,"[""校园卡"", ""挂失"", ""解挂"", ""企业微信""]"
怎么缴空调费？,KNOWLEDGE_QA,SEARCH_PUBLIC_KNOWLEDGE,,"[""空调费"", ""缴费"", ""充值"", ""企业微信""]"
校园卡密码忘了怎么办？,KNOWLEDGE_QA,SEARCH_PUBLIC_KNOWLEDGE,,"[""校园卡"", ""密码"", ""忘记"", ""重置""]"
校园卡丢了怎么补办？,KNOWLEDGE_QA,SEARCH_PUBLIC_KNOWLEDGE,,"[""校园卡"", ""丢失"", ""补办"", ""师生服务中心""]"
热水费怎么充值？,KNOWLEDGE_QA,SEARCH_PUBLIC_KNOWLEDGE,,"[""热水费"", ""充值"", ""洗澡"", ""智慧热水""]"
宿舍电费怎么充值？,KNOWLEDGE_QA,SEARCH_PUBLIC_KNOWLEDGE,,"[""电费"", ""充值"", ""缴费"", ""水电中心""]"
网费怎么交？,KNOWLEDGE_QA,SEARCH_PUBLIC_KNOWLEDGE,,"[""网费"", ""缴费"", ""充值"", ""网络""]"
水卡怎么充值？,KNOWLEDGE_QA,SEARCH_PUBLIC_KNOWLEDGE,,"[""水卡"", ""充值"", ""饮水"", ""水费""]"
热水费在哪里充值？,KNOWLEDGE_QA,SEARCH_PUBLIC_KNOWLEDGE,,"[""热水费"", ""充值"", ""洗澡"", ""智慧热水""]"
校园卡丢了怎么吃饭？,KNOWLEDGE_QA,SEARCH_PUBLIC_KNOWLEDGE,,"[""校园卡"", ""丢失"", ""吃饭"", ""临时""]"
圈存机怎么用？,KNOWLEDGE_QA,SEARCH_PUBLIC_KNOWLEDGE,,"[""圈存机"", ""使用"", ""操作"", ""充值""]"
空调费怎么充值？,KNOWLEDGE_QA,SEARCH_PUBLIC_KNOWLEDGE,,"[""空调费"", ""充值"", ""缴费"", ""企业微信""]"
校园卡充值多久到账？,KNOWLEDGE_QA,SEARCH_PUBLIC_KNOWLEDGE,,"[""校园卡"", ""充值"", ""到账"", ""时间""]"
电费余额怎么查？,KNOWLEDGE_QA,SEARCH_PUBLIC_KNOWLEDGE,,"[""电费"", ""余额"", ""查询"", ""宿舍""]"
宿舍床铺尺寸是多少？,KNOWLEDGE_QA,SEARCH_PUBLIC_KNOWLEDGE,,"[""宿舍"", ""床铺"", ""尺寸"", ""买床单""]"
宿舍可以养宠物吗？,KNOWLEDGE_QA,SEARCH_PUBLIC_KNOWLEDGE,,"[""宿舍"", ""宠物"", ""猫"", ""狗""]"
宿舍断网时间是几点？,KNOWLEDGE_QA,GET_CURRENT_TIME|SEARCH_PUBLIC_KNOWLEDGE,,"[""宿舍"", ""断网"", ""时间"", ""网络""]"
宿舍有WiFi吗？,KNOWLEDGE_QA,SEARCH_PUBLIC_KNOWLEDGE,,"[""宿舍"", ""WiFi"", ""网络"", ""无线""]"
宿舍晚上几点熄灯？,KNOWLEDGE_QA,GET_CURRENT_TIME|SEARCH_PUBLIC_KNOWLEDGE,,"[""宿舍"", ""熄灯"", ""时间"", ""晚上""]"
宿舍可以点外卖吗？,KNOWLEDGE_QA,SEARCH_PUBLIC_KNOWLEDGE,,"[""宿舍"", ""外卖"", ""送餐"", ""楼下""]"
